Let's try something.	Mari kita coba sesuatu.
It was because he was injured that he decided to return to America.	Karena terluka, dia memutuskan untuk kembali ke Amerika.
I don't know when he'll come back.	Saya tidak tahu kapan dia akan kembali.
I'm disappointed that he's not here.	Aku kecewa dia tidak di sini.
He comes back from Sydney today.	Dia kembali dari Sydney hari ini.
It is a pity that he died so young.	Sayang sekali dia meninggal di usia yang sangat muda.
If he asks, I will give it; if not, not.	Jika dia bertanya, saya akan berikan. Jika tidak, tidak.
He hasn't come yet.	Dia belum datang.
If he had been a little more careful, the accident would have been avoided.	Kalau saja dia sedikit lebih berhati-hati, dia bisa terhindar dari kecelakaan itu.
The car he's driving is not his.	Mobil yang dikendarainya bukan miliknya
When he got to the station, the train had already left.	Ketika dia sampai stasiun, keretanya telah berangkat.
I found him a genius at chemistry.	Dia seorang yang genius pada ilmu kimia.
We don't care what he does.	Kami tidak peduli dengan apa yang dia perbuat.
Whatever he may say, I won't change my mind.	Apapun yang dia bilang, aku tidak akan berubah pikiran.
I like him.	Aku suka dia.
It is only natural that he be proud of his son.	Sudah sewajarnya dia bangga terhadap putranya.
It's natural for him to get angry.	Wajar saja kalau dia marah.
He did the work on his own.	Dia melakukan pekerjaannya sendiri.
I want to meet him to see whether or not he gives me useful information.	Aku ingin bertemu dengannya untuk mengetahui apakah ia memberikanku informasi yang berguna atau tidak.
Let's do it when he comes.	Mari kita melakukannya ketika ia tiba.
The news that he would come, quickly got abroad.	Kabar kalau dia akan datang menyebar dengan cepat.
I will wait here till he comes.	Saya akan menunggu di sini sampai dia datang.
Is he speaking English, French, or German?	Apakah dia berbicara bahasa Inggris, Perancis, atau Jerman?
He can be trusted.	Dia bisa dipercaya.
Don't expect too much of him.	Jangan terlalu berharap padanya.
I'm always surprised by him.	Dia selalu membuatku terkejut.
I can't put up with him any longer.	Aku sudah tidak tahan dengannya.
He did not intend to hurt your feelings.	Dia tidak bermaksud menyakiti perasaanmu.
He has no children to succeed to him.	Dia tidak memiliki keturunan untuk menggantikannya.
He has plenty of quality.	Dia mempunyai banyak mutu.
I called him up.	Aku meneleponnya.
His father calls him Tom.	Ayahnya memanggilnya Tom.
Tell me about him.	Ceritakan tentang dia.
He has an uncontrollable temper.	Dia punya temperamen yang tidak terkontrol.
Model your manners on his.	Contohlah perilakunya.
On his left sat his mother.	Di sebelah kirinya duduk ibunya.
Forget him.	Lupakan dirinya.
What does he say in his letter?	Apa yang dia katakan di dalam suratnya?
His letter says he'll arrive next Sunday.	Di suratnya tertulis kalau dia akan tiba hari Minggu besok.
Remember to answer his letter.	Jangan lupa membalas suratnya.
His advice was very helpful.	Saran darinya sangat bermanfaat.
His new film is disappointing.	Film barunya mengecewakan.
His new novel will come out next month.	Novel barunya akan terbit bulan depan.
His new film is worth seeing.	Film barunya layak ditonton.
His character resembles his father's.	Dia mempunyai watak yang mirip dengan ayahnya.
He has a good chance to succeed.	Dia punya kesempatan yang bagus untuk sukses.
What has become of his son?	Jadi apa anaknya sekarang?
His loud voice drew my attention.	Suaranya yang nyaring menarik perhatianku.
His sudden death surprised us greatly.	Kematiannya yang mendadak benar-benar mengejutkan kami.
What is his age?	Berapa umurnya?
Her beauty was beyond description.	Kecantikannya tidak bisa diungkapkan dengan kata-kata.
His writing is very subjective.	Tulisannya sangat subjektif.
He has a bright future.	Dia punya masa depan yang cerah.
Both of his parents are well.	Kedua orang tuanya baik-baik saja.
He claimed that he had returned the book to the library.	Dia mengatakan kalau dia sudah mengembalikan bukunya ke perpustakaan.
He did a very foolish thing.	Dia melakukan hal yang sangat bodoh.
He has an eye for art.	Dia punya selera seni yang tinggi.
He likes a tiger.	Dia suka macan.
He has a bicycle.	Dia memiliki sebuah sepeda.
He gives her everything she asks for.	Dia memberikannya segala hal yang ia minta.
He stood aside for her to enter.	Tom bergeser untuk membiarkannya lewat.
He said he would run 200 kilometers in a day and he did.	Dia bilang dia ingin lari 200 kilometer dalam sehari dan dia melaksanakannya.
He said he had lost his vigor at forty.	He mengatakan bahwa dia telah kehilangan kekuatannya di usia 40.
He is eight.	Dia delapan tahun.
He left home at 8:00.	Dia meninggalkan rumah pukul 8:00.
He is a DJ.	Dia adalah seorang DJ.
Does he know what you did?	Apakah dia tahu apa yang kamu lakukan?
He doesn't read many newspapers.	Dia tidak terlalu banyak membaca koran.
He ran so fast that I couldn't catch up with him.	Dia berlari sangat cepat sampai-sampai aku tidak bisa mengejarnya.
She has made up her mind to go to America to study.	Dia memutuskan untuk pergi ke Amerika untuk belajar.
How old is he?	Berapa umurnya?
He kept on crying.	Dia terus menangis.
He's always short of money.	Dia selalu kekurangan uang.
He is always full of vigor.	Dia selalu penuh dengan semangat.
He is always day-dreaming.	Ia selalu mimpi di siang hari.
He's always looking at you. He must love you.	Dia selalu melihatmu. Dia pasti jatuh cinta kepadamu.
He is always on my side.	Dia selalu membelaku.
He's always late for class.	Dia selalu telat ke kelas.
He still believes her words.	Dia masih percaya pada kata-katanya.
He was listening to the radio with his earphone.	Dia sedang mendengarkan radio dengan earphone.
He turned out to be nothing but a liar.	Dia tidak lain dan tidak bukan adalah seorang pembohong.
He may have told a lie.	Dia bisa saja berbohong.
He's a carbon copy of his father.	Dia adalah salinan dari ayahnya.
He once knew her, but they are no longer friends.	Dia pernah mengenalnya, tetapi mereka tidak lagi berteman.
He is on the point of leaving for Canada.	Dia akan segera berangkat menuju ke Kanada.
He has quite a little money.	Dia punya banyak uang.
He is certain to succeed.	Dia pasti berhasil.
He is mad on gambling.	Dia gila judi.
He's biased against Christianity.	Dia berpandangan sempit terhadap agama Kristen.
He really enjoys and appreciates classical music.	Dia sangat menikmati dan mengapresiasi musik klasik.
He isn't here, is he?	Dia tidak ada di sini, kan?
He is no better than a beggar.	Dia tidak lebih baik daripada seorang pengemis.
He dropped the cup and broke it.	Dia menjatuhkan dan memecahkan gelasnya.
He had grown senile recently.	Dia mulai menjadi pikun akhir-akhir ini.
He can't do this kind of work, and she can't either.	Dia tidak dapat melakukan pekerjaan sejenis ini. Begitu pula dengannya.
He is reputed the best lawyer in this city.	Dia bereputasi sebagai pengacara terbaik di kota ini.
He is in trouble.	Dia dalam masalah.
He arrived here last night.	Dia tiba di sini tadi malam.
He asked for more money.	Dia meminta lebih banyak uang.
He is often absent from school.	Dia sering absen dari sekolah.
He showed great skill in skiing.	Dia menunjukkan bakat yang luar biasa dalam permainan ski.
He loses his temper easily.	Dia mudah sekali marah.
He gets mad very easily.	Dia sangat mudah marah.
He has a hundred dollars at most.	Dia cuma punya seratus dolar paling banyak.
He took leave of the family.	Dia pergi meninggalkan keluarganya.
He doesn't know everything about the plan.	Dia tidak tahu apa-apa tentang rencana itu.
He was satisfied with the result.	Dia puas dengan hasilnya.
He was excited to see the beautiful scenery.	Dia menjadi bersemangat setelah melihat pemandangan indah itu.
He wanted to buy the book.	Dia ingin membeli buku tersebut.
He can cope with the problems.	Dia bisa mengatasi persoalan itu.
Since he could not work out the problem that way, he tried another way.	Semenjak dia tidak dapat menyelesaikan masalah dengan cara itu, dia mencoba dengan cara lain.
He left just now.	Dia baru saja pergi.
He decided to quit smoking.	Dia memutuskan untuk berhenti merokok.
He is trying to quit smoking.	Dia sedang berusaha untuk berhenti merokok.
He could find her house easily.	Dia bisa menemukan rumahnya dengan mudah.
He drove the truck to Dallas.	Ia membawa truknya ke Dallas.
He was chosen to be a member of the team.	Dia terpilih menjadi anggota tim.
He was very good at playing tennis.	Dia dulu sangat pandai bermain tenis.
He is tired of watching television.	Dia lelah menonton televisi.
Where do you think he lives?	Menurutmu dia tinggal di mana?
Where was he going?	Dia pergi ke mana?
Where did he go?	Dia pergi ke mana?
He gets lost wherever he goes.	Dia selalu tersesat di mana pun dia pergi.
What a clever boy he is!	Dia memang anak pintar.
He likes bread and butter.	Dia suka roti dan mentega.
He is a handsome young man.	Ia pemuda yang tampan.
He became a pianist.	Ia menjadi seorang pianis.
He was too drunk to drive home.	Ia terlalu mabuk untuk berkemudi menuju rumah.
He can speak French, and it goes without saying he can speak English too.	Dia bisa berbahasa Perancis, dan ternyata dia bisa berbahasa Inggris juga.
He had few teeth.	Dia punya sedikit gigi.
He is indeed a clever boy.	Dia memang anak yang pandai.
He is still here.	Dia masih di sini.
He is still young.	Dia masih muda.
He is still alive.	Dia masih hidup.
He is still not accustomed to city life.	Dia masih belum terbiasa dengan kehidupan kota.
He is still angry.	Dia masih marah.
He hasn't come yet. He must have missed the bus.	Dia belum datang. Dia pasti ketinggalan bis.
He does not watch TV at all.	Dia tidak menonton TV sama sekali.
He lives in the woods all by himself.	Dia tinggal di hutan seorang diri.
He scarcely ever watches TV.	Dia jarang nonton TV.
He has a sweet voice.	Dia memiliki suara yang merdu.
He often plays the guitar.	Dia sering bermain gitar.
He is known as a rock singer.	Dia dikenal sebagai seorang penyanyi rok.
He has gone to London.	Dia telah berangkat ke London.
He walked vigorously ahead of us.	Dia berjalan di depan kami dengan penuh semangat.
He is a doctor.	Dia adalah seorang dokter.
He is alone.	Dia sendirian.
He caught hold of a rope and saved himself.	Dia meraih talinya dan menyelamatkan diri.
He fell in love with her at first sight.	Dia jatuh cinta padanya pada pandangan pertama.
He is the manager of the marketing department.	Dia adalah manajer dari departemen pemasaran.
English is not easy for him to learn.	Tidak mudah baginya untuk belajar bahasa Inggris.
He has made little progress in his English.	Dia mengalami sedikit kemajuan dalam Bahasa Inggris.
He can speak not only English but also German.	Pria itu bukan hanya bisa berbahasa Inggris tapi juga Bahasa Jerman.
Can he speak English?	Dapatkah dia berbicara bahasa Inggris?
He was afraid of his wife.	Dia takut dengan istrinya.
He is mad about music.	Dia tergila-gila soal musik.
What did he look up?	Apa yang dia cari?
He got thrown out of the house.	Dia diusir dari rumah.
I hear that he sold his house.	Aku dengar ia telah menjual rumahnya.
He urged us to obey the rule.	Dia meminta kami untuk mematuhi peraturan.
He was blue from the cold.	Dia menjadi pucat karena kedinginan.
He began to feel ill.	Dia mulai merasa sakit.
He wants to be an engineer.	Ia ingin menjadi insinyur.
He was guided by his fears.	Dia dikendalikan oleh ketakutannya.
He is a teacher and novelist.	Dia adalah seorang guru dan novelis.
He came across this old coin in an antique shop.	Dia tidak sengaja menemukan koin tua ini di toko barang antik.
He was scared you would shoot him.	Dia takut kamu akan menembaknya.
He's stronger than you.	Dia lebih kuat darimu.
He may have misunderstood you.	Dia mungkin sudah salah paham denganmu
He was caught by the police.	Dia telah ditangkap oleh polisi.
He gets a haircut three times a month.	Dia mencukur rambutnya tiga kali sebulan.
He has a great knowledge of the linguistic field.	Dia memiliki pengetahuan yang luas tentang bidang linguistik.
He is not always busy in the morning.	Dia selalu sibuk di pagi hari.
He had the nerve to ask me to marry him.	Dia tanpa tahu malu memintaku menikah dengannya.
He held his tongue and didn't say a word.	Dia menahan lidahnya dan tidak mengatakan sepatah katapun.
He made up an excuse.	Dia membuat sebuah alasan.
He works in a factory.	Dia bekerja di pabrik.
He lived a happy life.	Dia hidup dengan bahagia.
He drew two squares on the blackboard.	Dia menggambar dua buah persegi pada papan tulis.
He's reading a novel now.	Dia sedang membaca novel sekarang.
He feels a lot better today.	Dia merasa jauh lebih baik hari ini.
He will go to hospital.	Dia akan pergi ke rumah sakit.
He's writing a book now.	Dia sekarang menulis sebuah buku.
He seems to be in trouble.	Dia sepertinya dalam masalah.
Recently he's become a really nice person.	Akhir-akhir ini ia menjadi orang yang sangat baik.
He breathed his last breath.	Dia menghembuskan nafas terakhirnya.
He is at home, but no one can see him.	Dia di rumah, tapi tidak ada yang melihatnya.
He set out for Canada yesterday.	Kemarin, dia meninggalkan Kanada.
He played tennis yesterday.	Dia bermain tenis kemarin.
He worked hard to make his child happy.	Dia bekerja keras untuk membahagiakan anaknya.
He didn't fear death.	Dia tidak takut pada kematian.
He's the last man that I want to see.	Dialah pria terakhir yang ingin saya lihat.
He suggested that I write to her at once.	Dia menyarankan agar aku segera menulis surat kepadanya.
